date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:56	9755/9755	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2026%20Aug%202023%2003:19:56%20GMT	http://rapidbplan/	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/index.html	(from )
22:19:57	124/124	U--MCZ	200	updated ('OK')	text/plain	etag:W/%22118-1591716734600%22	http://rapidbplan/robots.txt		(from )
22:19:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Aug%202023%2003:19:57%20GMT	http://rapidbplan/Home	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/Home.1.delayed	(from http://rapidbplan/)
22:19:57	16346/16346	U--MCZ	200	updated ('OK')	text/css	date:Sat,%2026%20Aug%202023%2003:19:57%20GMT	http://rapidbplan/YorktownBlueCSS	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/YorktownBlueCSS.css	(from http://rapidbplan/)
22:19:58	206/206	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%22206-1591973642698%22	http://rapidbplan/skins/yorktown/yorktown.js	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/skins/yorktown/yorktown.js	(from http://rapidbplan/)
22:19:58	9636/9636	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2026%20Aug%202023%2003:19:58%20GMT	http://rapidbplan/Week1	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/Week1.html	(from http://rapidbplan/)
22:19:58	3527/3527	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2003:19:58%20GMT	http://rapidbplan/_Register	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/_Register.html	(from http://rapidbplan/)
22:19:58	6707/6707	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2003:19:58%20GMT	http://rapidbplan/_Recent	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/_Recent.html	(from http://rapidbplan/)
22:19:59	9142/9142	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2026%20Aug%202023%2003:19:58%20GMT	http://rapidbplan/Week2	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/Week2.html	(from http://rapidbplan/)
22:19:59	8547/8547	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2026%20Aug%202023%2003:19:59%20GMT	http://rapidbplan/Week3	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/Week3.html	(from http://rapidbplan/)
22:20:01	72174/72174	U--MCZ	200	updated ('OK')	application/javascript	etag:W/%2272174-1591716734620%22	http://rapidbplan/scripts/jquery-1.4.2.min.js	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/scripts/jquery-1.4.2.min.js	(from http://rapidbplan/)
22:20:02	9133/9133	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2026%20Aug%202023%2003:20:01%20GMT	http://rapidbplan/Week4a	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/Week4a.html	(from http://rapidbplan/)
22:20:03	56281/56281	---M--	200	added ('OK')	image/jpeg	etag:W/%2256281-1689095437133%22	http://rapidbplan/files/YorktownSettings/RapidBPlan%20title%20Top%20Image960x100.jpg	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/files/YorktownSettings/RapidBPlan%20title%20Top%20Image960x100.jpg	(from http://rapidbplan/)
22:20:03	14731/14731	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2026%20Aug%202023%2003:20:02%20GMT	http://rapidbplan/files	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/files.html	(from http://rapidbplan/)
22:20:04	30532/30532	---M--	200	added ('OK')	image/jpeg	etag:W/%2230532-1689531702911%22	http://rapidbplan/files/Home/Let%27s%20Continue%20Arrow.jpg	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/files/Home/Let's%20Continue%20Arrow.jpg	(from http://rapidbplan/)
22:20:04	42/42	U-----	200	untouched ('')	image/gif	etag:W/%2242-1425049029000%22	http://rapidbplan/skins/yorktown/images/sp.gif	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/skins/yorktown/images/sp.gif	(from http://rapidbplan/)
22:20:04	4944/4944	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2026%20Aug%202023%2003:20:03%20GMT	http://rapidbplan/_Login?redirect=Home	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/_Login3348.html	(from http://rapidbplan/)
22:20:04	0/-1	---M--	301	error ('')			http://rapidbplan/Home	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/Home.7.delayed	(from http://rapidbplan/Week1)
22:20:04	6788/6788	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2026%20Aug%202023%2003:20:04%20GMT	http://rapidbplan/readers	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/readers.html	(from http://rapidbplan/)
22:20:05	360/360	U-----	200	untouched ('')	image/jpeg	etag:W/%22360-1425049029000%22	http://rapidbplan/skins/yorktown/images/toolbar_black_glassy.jpg	C:/My%20Web%20Sites/Rapidbplan%20-%208-5-2018/rapidbplan/skins/yorktown/images/toolbar_black_glassy.jpg	(from http://rapidbplan/YorktownBlueCSS)
