date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:21	124/124	---M-Z	200	added ('OK')	text/plain	etag:W/%22118-1425049014000-gzip%22	http://rapidbplan.editme.com/robots.txt		(from )
17:23:21	6363/6363	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:23%20GMT	http://rapidbplan.editme.com/	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/index.html	(from )
17:23:21	16355/16355	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20Aug%202018%2022:23:23%20GMT	http://rapidbplan.editme.com/YorktownBlueCSS	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/YorktownBlueCSS.css	(from http://rapidbplan.editme.com/)
17:23:21	46/46	---M--	200	added ('OK')	text/css	etag:W/%2246-1313508287000%22	http://rapidbplan.editme.com/files/YorktownBlueCSS/nomenu.css	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/files/YorktownBlueCSS/nomenu.css	(from http://rapidbplan.editme.com/)
17:23:22	206/206	---M-Z	200	added ('OK')	application/javascript	etag:W/%22206-1425049029000-gzip%22	http://rapidbplan.editme.com/skins/yorktown/yorktown.js	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/skins/yorktown/yorktown.js	(from http://rapidbplan.editme.com/)
17:23:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Aug%202018%2022:23:24%20GMT	http://rapidbplan.editme.com/Home	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/Home.5.delayed	(from http://rapidbplan.editme.com/)
17:23:22	72174/72174	---M-Z	200	added ('OK')	application/javascript	etag:W/%2272174-1425049023000-gzip%22	http://rapidbplan.editme.com/scripts/jquery-1.4.2.min.js	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/scripts/jquery-1.4.2.min.js	(from http://rapidbplan.editme.com/)
17:23:23	8034/8034	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:25%20GMT	http://rapidbplan.editme.com/Week1	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/Week1.html	(from http://rapidbplan.editme.com/)
17:23:23	6323/6323	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:25%20GMT	http://rapidbplan.editme.com/Week2	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/Week2.html	(from http://rapidbplan.editme.com/)
17:23:23	6364/6364	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:25%20GMT	http://rapidbplan.editme.com/Week3	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/Week3.html	(from http://rapidbplan.editme.com/)
17:23:24	6562/6562	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:25%20GMT	http://rapidbplan.editme.com/Week4a	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/Week4a.html	(from http://rapidbplan.editme.com/)
17:23:24	42/42	---M--	200	added ('OK')	image/gif	etag:W/%2242-1425049029000%22	http://rapidbplan.editme.com/skins/yorktown/images/sp.gif	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/skins/yorktown/images/sp.gif	(from http://rapidbplan.editme.com/)
17:23:24	17185/17185	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:26%20GMT	http://rapidbplan.editme.com/files	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/files.html	(from http://rapidbplan.editme.com/)
17:23:24	6772/6772	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:26%20GMT	http://rapidbplan.editme.com/readers	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/readers.html	(from http://rapidbplan.editme.com/)
17:23:24	8004/8004	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:26%20GMT	http://rapidbplan.editme.com/weeke	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/weeke.html	(from http://rapidbplan.editme.com/)
17:23:25	4170/4170	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:27%20GMT	http://rapidbplan.editme.com/_Login?redirect=Home	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/_Login3348.html	(from http://rapidbplan.editme.com/)
17:23:25	7838/7838	---M-Z	200	added ('OK')	text/css	etag:W/%227838-1425049025000-gzip%22	http://rapidbplan.editme.com/yaml-3.1/core/base.css	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/yaml-3.1/core/base.css	(from http://rapidbplan.editme.com/YorktownBlueCSS)
17:23:25	2949/2949	---M-Z	200	added ('OK')	text/css	etag:W/%222949-1425049025000-gzip%22	http://rapidbplan.editme.com/yaml-3.1/navigation/nav_shinybuttons.css	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/yaml-3.1/navigation/nav_shinybuttons.css	(from http://rapidbplan.editme.com/YorktownBlueCSS)
17:23:26	360/360	---M--	200	added ('OK')	image/jpeg	etag:W/%22360-1425049029000%22	http://rapidbplan.editme.com/skins/yorktown/images/toolbar_black_glassy.jpg	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/skins/yorktown/images/toolbar_black_glassy.jpg	(from http://rapidbplan.editme.com/YorktownBlueCSS)
17:23:26	12951/12951	---M--	200	added ('OK')	image/jpeg	etag:W/%2212951-1391292825000%22	http://rapidbplan.editme.com/files/Home/Continue%20Arrow.jpg	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/files/Home/Continue%20Arrow.jpg	(from http://rapidbplan.editme.com/)
17:23:27	69160/69160	---M--	200	added ('OK')	image/jpeg	etag:W/%2269160-1407461087000%22	http://rapidbplan.editme.com/files/YorktownSettings/rbp%20banner%20header.jpg	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/files/YorktownSettings/rbp%20banner%20header.jpg	(from http://rapidbplan.editme.com/)
17:23:27	0/-1	---M--	301	error ('')			http://rapidbplan.editme.com/Home	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/Home.13.delayed	(from http://rapidbplan.editme.com/Week1)
17:23:27	8557/8557	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:29%20GMT	http://rapidbplan.editme.com/week1a	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/week1a.html	(from http://rapidbplan.editme.com/Week1)
17:23:27	0/-1	---M--	301	error ('')			http://rapidbplan.editme.com/Home	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/Home.16.delayed	(from http://rapidbplan.editme.com/Week2)
17:23:27	4171/4171	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:29%20GMT	http://rapidbplan.editme.com/_Login?redirect=Week1	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/_Loginfc85.html	(from http://rapidbplan.editme.com/Week1)
17:23:28	11208/11208	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:29%20GMT	http://rapidbplan.editme.com/week2a	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/week2a.html	(from http://rapidbplan.editme.com/Week2)
17:23:28	8307/8307	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:30%20GMT	http://rapidbplan.editme.com/week2d	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/week2d.html	(from http://rapidbplan.editme.com/Week2)
17:23:28	0/-1	---M--	301	error ('')			http://rapidbplan.editme.com/Home	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/Home.1a.delayed	(from http://rapidbplan.editme.com/Week3)
17:23:28	4171/4171	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:30%20GMT	http://rapidbplan.editme.com/_Login?redirect=Week2	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/_Login1f2e.html	(from http://rapidbplan.editme.com/Week2)
17:23:29	6847/6847	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:30%20GMT	http://rapidbplan.editme.com/week3a	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/week3a.html	(from http://rapidbplan.editme.com/Week3)
17:23:29	8125/8125	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:31%20GMT	http://rapidbplan.editme.com/week3d	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/week3d.html	(from http://rapidbplan.editme.com/Week3)
17:23:29	0/-1	---M--	301	error ('')			http://rapidbplan.editme.com/Home	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/Home.1e.delayed	(from http://rapidbplan.editme.com/Week4a)
17:23:29	4171/4171	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:31%20GMT	http://rapidbplan.editme.com/_Login?redirect=Week3	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/_Login801e.html	(from http://rapidbplan.editme.com/Week3)
17:23:29	5982/5982	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:31%20GMT	http://rapidbplan.editme.com/week4c	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/week4c.html	(from http://rapidbplan.editme.com/Week4a)
17:23:30	10303/10303	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:31%20GMT	http://rapidbplan.editme.com/week4k	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/week4k.html	(from http://rapidbplan.editme.com/Week4a)
17:23:30	0/-1	---M--	301	error ('')			http://rapidbplan.editme.com/Home	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/Home.22.delayed	(from http://rapidbplan.editme.com/files)
17:23:30	4172/4172	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Aug%202018%2022:23:32%20GMT	http://rapidbplan.editme.com/_Login?redirect=Week4a	C:/My%20Web%20Sites/Rapidbplan/rapidbplan.editme.com/_Logind95b.html	(from http://rapidbplan.editme.com/Week4a)
